+--------------------+---------------+--------------+----------+------------------+------+------+------+-----------------+------------+
|             country|poverty_percent|gdp_per_capita|population|years_of_education|   sex|height|weight|            sport|TieneMedalla|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.73|  77.0|        wrestling|           0|
|              Poland|    0.004540368|       24838.0|  37989218|              12.2|female|  1.75|  69.0|        wrestling|           0|
|          Kyrgyzstan|       1.005343|        4879.0|   6074327|              10.9|female|   1.7|  58.0|        wrestling|           0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|female|  1.65|  69.0|        wrestling|           0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|female|  1.77|  73.0|        wrestling|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.78|  80.0|        wrestling|           0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|female|  1.65|  75.0|        wrestling|           0|
|             Nigeria|       42.01507|        5360.0| 185960244|               6.2|female|  1.65|  58.0|        wrestling|           0|
|              Latvia|      0.6330571|       22092.0|   1974265|              12.8|female|  1.69|  65.0|        wrestling|           0|
|            Colombia|       4.528075|       13326.0|  48175048|               8.3|female|  1.76|  75.0|        wrestling|           0|
|            Cameroon|       23.96946|        2828.0|  23926549|               6.3|female|  1.76|  75.0|        wrestling|           0|
|            Mongolia|       0.470293|       12360.0|   3056358|              10.1|female|   1.7|  67.0|        wrestling|           0|
|              Turkey|       0.202717|       17906.0|  79827868|               8.0|female|  1.67|  53.0|        wrestling|           0|
|           Venezuela|           82.0|       15219.0|  29851249|              12.8|female|  1.64|  53.0|        wrestling|           0|
|             Nigeria|       42.01507|        5360.0| 185960244|               6.2|female|  1.63|  63.0|        wrestling|           0|
|            Honduras|       16.11051|        4796.0|   9270794|               6.5|female|  1.59|  55.0|        wrestling|           0|
|              Turkey|       0.202717|       17906.0|  79827868|               8.0|female|  1.73|  69.0|        wrestling|           0|
|            Colombia|       4.528075|       13326.0|  48175048|               8.3|female|  1.57|  48.0|        wrestling|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|female|   1.7|  74.0|        wrestling|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.65|  63.0|        wrestling|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|   1.6|  71.0|        wrestling|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.68|  71.0|        wrestling|           0|
|              Turkey|       0.202717|       17906.0|  79827868|               8.0|female|  1.64|  58.0|        wrestling|           0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|female|  1.65|  69.0|        wrestling|           0|
|             Hungary|       1.330806|       23279.0|   9752970|              11.9|  male|  1.75|  71.0|     table tennis|           0|
|              Turkey|       0.202717|       17906.0|  79827868|               8.0|  male|  1.73|  67.0|     table tennis|           0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.92|  80.0|     table tennis|           0|
|             Croatia|      0.6206112|       20376.0|   4208611|              11.3|  male|  1.85|  85.0|     table tennis|           0|
|                Cuba|          26.54|        8000.0|  11335108|              14.3|  male|  1.66|  73.0|     table tennis|           0|
|             Finland|     0.04643161|       37239.0|   5497714|              12.4|  male|  1.91|  87.0|     table tennis|           0|
|             Nigeria|       42.01507|        5360.0| 185960244|               6.2|  male|   1.7|  68.0|     table tennis|           0|
|            Slovenia|            0.0|       26908.0|   2074205|              12.3|  male|  1.78|  76.0|     table tennis|           0|
|         Puerto Rico|           25.8|       35082.0|   3283121|              11.9|  male|  1.75|  68.0|     table tennis|           0|
|         Puerto Rico|           25.8|       35082.0|   3283121|              11.9|female|   1.6|  50.0|     table tennis|           0|
|             Belarus|            0.0|       17628.0|   9445638|              12.3|female|  1.78|  66.0|     table tennis|           0|
|            Slovakia|       1.331123|       25364.0|   5442001|              12.5|female|  1.69|  73.0|     table tennis|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.68|  62.0|     table tennis|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|   1.7|  54.0|     table tennis|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.66|  58.0|     table tennis|           0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|female|  1.66|  59.0|     table tennis|           0|
|            Slovakia|       1.331123|       25364.0|   5442001|              12.5|female|  1.75|  60.0|     table tennis|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|female|  1.64|  60.0|     table tennis|           0|
|            Portugal|       0.374637|       25346.0|  10325540|               9.2|female|  1.73|  60.0|     table tennis|           0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|  male|  1.93|  95.0|           rowing|           0|
|                Cuba|          26.54|        8000.0|  11335108|              14.3|  male|  1.89|  87.0|           rowing|           0|
|             Hungary|       1.330806|       23279.0|   9752970|              11.9|  male|  1.88|  89.0|           rowing|           0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|  male|  1.91|  96.0|           rowing|           0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|  male|  1.92|  96.0|           rowing|           0|
|          Azerbaijan|            0.0|       16645.0|   9736041|              10.7|  male|  1.89|  93.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|  male|  1.96|  96.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.94|  90.0|           rowing|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|  male|  1.89|  89.0|           rowing|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|   1.8|  80.0|           rowing|           0|
|               Libya|           33.0|        8096.0|   6492160|              12.9|  male|  1.75|  68.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|  male|  1.86|  71.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.96|  92.0|           rowing|           0|
|              Angola|       42.16528|        8453.0|  28842482|               5.1|  male|   1.8|  76.0|           rowing|           0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.87|  70.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.78|  70.0|           rowing|           0|
|            Zimbabwe|       32.36664|        1534.0|  14030338|               8.2|  male|  1.91|  87.0|           rowing|           0|
|                Cuba|          26.54|        8000.0|  11335108|              14.3|  male|  1.98| 108.0|           rowing|           0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|  male|  1.95|  94.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.81|  71.0|           rowing|           0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|  male|  2.02| 104.0|           rowing|           0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.95|  94.0|           rowing|           0|
|           Lithuania|       1.270506|       24743.0|   2889555|              13.0|  male|  1.93|  86.0|           rowing|           0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.93|  96.0|           rowing|           0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|  male|  1.95| 100.0|           rowing|           0|
|              Poland|    0.004540368|       24838.0|  37989218|              12.2|  male|   1.8|  73.0|           rowing|           0|
|            Paraguay|       1.518428|        8786.0|   6777878|               8.4|  male|  1.83|  80.0|           rowing|           0|
|         Switzerland|     0.03427533|       59662.0|   8379915|              13.4|  male|  1.94|  98.0|           rowing|           0|
|           Lithuania|       1.270506|       24743.0|   2889555|              13.0|  male|  2.04| 100.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  2.04|  99.0|           rowing|           0|
|         Switzerland|     0.03427533|       59662.0|   8379915|              13.4|  male|  1.93| 100.0|           rowing|           0|
|             Hungary|       1.330806|       23279.0|   9752970|              11.9|  male|  1.86|  85.0|           rowing|           0|
|             Hungary|       1.330806|       23279.0|   9752970|              11.9|  male|   1.9|  95.0|           rowing|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.86|  86.0|           rowing|           0|
|               Chile|      0.2875647|       21696.0|  18209072|              10.3|  male|   1.9|  75.0|           rowing|           0|
|             Austria|      0.6640635|       41445.0|   8747306|              12.1|  male|   1.8|  72.0|           rowing|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|  male|   1.9|  70.0|           rowing|           0|
|          Azerbaijan|            0.0|       16645.0|   9736041|              10.7|  male|  1.93|  93.0|           rowing|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|  male|   1.8|  72.0|           rowing|           0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|  male|  1.84|  84.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|  male|  1.94|  95.0|           rowing|           0|
|             Ecuador|       3.577468|       10527.0|  16491116|               8.7|  male|  1.78|  75.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|  male|  1.68|  55.0|           rowing|           0|
|              Turkey|       0.202717|       17906.0|  79827868|               8.0|  male|   1.8|  70.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.94|  90.0|           rowing|           0|
|               China|      0.5253779|       12569.0|1414049353|               7.8|  male|  1.81|  72.0|           rowing|           0|
|           Hong Kong|           21.4|       48330.0|   7243541|               8.1|  male|   1.8|  72.0|           rowing|           0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|  male|  1.78|  72.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|  male|  1.87|  89.0|           rowing|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|  male|  1.91|  90.0|           rowing|           0|
|               China|      0.5253779|       12569.0|1414049353|               7.8|  male|   1.8|  70.0|           rowing|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|  male|  2.05| 100.0|           rowing|           0|
|              Poland|    0.004540368|       24838.0|  37989218|              12.2|  male|   1.7|  55.0|           rowing|           0|
|         Switzerland|     0.03427533|       59662.0|   8379915|              13.4|  male|  1.83|  73.0|           rowing|           0|
|              Poland|    0.004540368|       24838.0|  37989218|              12.2|  male|  1.99|  91.0|           rowing|           0|
|               India|       12.23808|        6125.0|1324517250|               6.4|  male|  1.89|  81.0|           rowing|           0|
|        South Africa|        19.0491|       12139.0|  56207649|              10.1|  male|  1.97|  90.0|           rowing|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|  male|  1.91|  96.0|           rowing|           0|
|              Greece|        1.05405|       22574.0|  10615183|              10.8|  male|  1.89|  91.0|           rowing|           0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|  male|  1.95|  96.0|           rowing|           0|
|           Lithuania|       1.270506|       24743.0|   2889555|              13.0|  male|  1.92|  95.0|           rowing|           0|
|         South Korea|      0.2266651|       36103.0|  50983446|              12.1|  male|  1.89|  91.0|           rowing|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.95|  90.0|           rowing|           0|
|           Lithuania|       1.270506|       24743.0|   2889555|              13.0|  male|  1.93|  98.0|           rowing|           0|
|             Belarus|            0.0|       17628.0|   9445638|              12.3|  male|  1.97| 102.0|           rowing|           0|
|                Cuba|          26.54|        8000.0|  11335108|              14.3|  male|  1.87|  88.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.94|  77.0|           rowing|           0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.91|  85.0|           rowing|           0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.52|  53.0|           rowing|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|  male|  1.93|  69.0|           rowing|           0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.94|  86.0|           rowing|           0|
|               Chile|      0.2875647|       21696.0|  18209072|              10.3|  male|  1.83|  75.0|           rowing|           0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|  male|   1.9|  92.0|           rowing|           0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.99|  98.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|  male|   2.0|  97.0|           rowing|           0|
|            Bulgaria|       1.948435|       17037.0|   7151948|              11.8|  male|  2.01| 107.0|           rowing|           0|
|              Greece|        1.05405|       22574.0|  10615183|              10.8|  male|  1.89|  91.0|           rowing|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|  1.95|  90.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|  male|  1.94|  95.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.86|  77.0|           rowing|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|   1.6|  49.0|           rowing|           0|
|              Greece|        1.05405|       22574.0|  10615183|              10.8|female|   1.8|  70.0|           rowing|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|   1.7|  60.0|           rowing|           0|
|             Belarus|            0.0|       17628.0|   9445638|              12.3|female|  1.79|  65.0|           rowing|           0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|female|   1.8|  70.0|           rowing|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.86|  76.0|           rowing|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.82|  75.0|           rowing|           0|
|             Algeria|      0.3268976|       14331.0|  40551398|               8.0|female|  1.73|  60.0|           rowing|           0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|female|  1.86|  75.0|           rowing|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.65|  60.0|           rowing|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|female|  1.78|  74.0|           rowing|           0|
|              Poland|    0.004540368|       24838.0|  37989218|              12.2|female|  1.84|  80.0|           rowing|           0|
|             Denmark|       0.278387|       44836.0|   5711346|              12.6|female|  1.75|  60.0|           rowing|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.79|  76.0|           rowing|           0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.69|  57.0|           rowing|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.69|  76.0|           rowing|           0|
|                Peru|       3.532684|       11776.0|  30926036|               9.2|female|   1.6|  60.0|           rowing|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.87|  85.0|           rowing|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|   1.8|  76.0|           rowing|           0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|female|  1.65|  57.0|           rowing|           0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.65|  55.0|           rowing|           0|
|             Nigeria|       42.01507|        5360.0| 185960244|               6.2|female|   1.8|  67.0|           rowing|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.88|  90.0|           rowing|           0|
|             Ireland|      0.1311761|       56597.0|   4695790|              12.5|female|  1.78|  57.0|           rowing|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.75|  72.0|           rowing|           0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.82|  74.0|           rowing|           0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|female|   1.8|  80.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.73|  58.0|           rowing|           0|
|           Indonesia|       5.239999|       10911.0| 261556386|               8.0|female|  1.66|  65.0|           rowing|           0|
|             Belarus|            0.0|       17628.0|   9445638|              12.3|female|  1.85|  81.0|           rowing|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.83|  72.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.78|  72.0|           rowing|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|female|  1.77|  70.0|           rowing|           0|
|             Bahamas|         11.169|       31563.0|    377923|              12.9|female|  1.53|  70.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.81|  68.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.82|  76.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.86|  75.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.86|  72.0|           rowing|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.63|  58.0|           rowing|           0|
|             Denmark|       0.278387|       44836.0|   5711346|              12.6|female|  1.84|  79.0|           rowing|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.75|  75.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.59|  50.0|           rowing|           0|
|            Paraguay|       1.518428|        8786.0|   6777878|               8.4|female|  1.63|  60.0|           rowing|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.79|  72.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.83|  79.0|           rowing|           0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.91|  77.0|           rowing|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.83|  73.0|           rowing|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|female|   1.7|  69.0|           rowing|           0|
|             Vietnam|       1.804834|        6062.0|  93640435|               8.1|female|   1.7|  58.0|           rowing|           0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|female|   1.8|  68.0|           rowing|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|   1.7|  79.0|             golf|           0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|  male|  1.68|  65.0|             golf|           0|
|               India|       12.23808|        6125.0|1324517250|               6.4|  male|  1.72|  80.0|             golf|           0|
|               China|      0.5253779|       12569.0|1414049353|               7.8|  male|  1.81|  81.0|             golf|           0|
|               India|       12.23808|        6125.0|1324517250|               6.4|female|  1.73|  57.0|             golf|           0|
|         Switzerland|     0.03427533|       59662.0|   8379915|              13.4|female|  1.74|  58.0|             golf|           0|
|             Algeria|      0.3268976|       14331.0|  40551398|               8.0|  male|  1.85|  75.0|         football|           0|
|             Algeria|      0.3268976|       14331.0|  40551398|               8.0|  male|  1.86|  70.0|         football|           0|
|             Algeria|      0.3268976|       14331.0|  40551398|               8.0|  male|  1.85|  79.0|         football|           0|
|             Algeria|      0.3268976|       14331.0|  40551398|               8.0|  male|   1.7|  65.0|         football|           0|
|             Algeria|      0.3268976|       14331.0|  40551398|               8.0|  male|  1.68|  62.0|         football|           0|
|        South Africa|        19.0491|       12139.0|  56207649|              10.1|  male|  1.75|  64.0|         football|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|  male|  1.81|  71.0|         football|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|  male|  1.74|  70.0|         football|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|  male|  1.83|  78.0|         football|           0|
|                Iraq|       1.017139|       13898.0|  36610632|               6.7|  male|  1.84|  80.0|         football|           0|
|                Iraq|       1.017139|       13898.0|  36610632|               6.7|  male|  1.78|  68.0|         football|           0|
|            Honduras|       16.11051|        4796.0|   9270794|               6.5|  male|  1.84|  77.0|         football|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|  male|   1.8|  75.0|         football|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|  male|  1.76|  78.0|         football|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|  male|  1.92|  77.0|         football|           0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|  male|  1.64|  66.0|         football|           0|
|              Mexico|       2.158935|       16133.0| 123333379|               8.6|  male|  1.88|  84.0|         football|           0|
|                Iraq|       1.017139|       13898.0|  36610632|               6.7|  male|   1.8|  76.0|         football|           0|
|                Iraq|       1.017139|       13898.0|  36610632|               6.7|  male|  1.84|  75.0|         football|           0|
|                Iraq|       1.017139|       13898.0|  36610632|               6.7|  male|  1.77|  70.0|         football|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|  male|  1.89|  80.0|         football|           0|
|            Honduras|       16.11051|        4796.0|   9270794|               6.5|  male|   1.8|  76.0|         football|           0|
|            Honduras|       16.11051|        4796.0|   9270794|               6.5|  male|  1.84|  69.0|         football|           0|
|                Fiji|      0.2987445|       11940.0|    872406|              10.8|  male|  1.85|  88.0|         football|           0|
|                Iraq|       1.017139|       13898.0|  36610632|               6.7|  male|   1.8|  72.0|         football|           0|
|                Iraq|       1.017139|       13898.0|  36610632|               6.7|  male|   1.8|  76.0|         football|           0|
|        South Africa|        19.0491|       12139.0|  56207649|              10.1|  male|  1.75|  69.0|         football|           0|
|            Portugal|       0.374637|       25346.0|  10325540|               9.2|  male|  1.71|  68.0|         football|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|  male|  1.96|  88.0|         football|           0|
|             Denmark|       0.278387|       44836.0|   5711346|              12.6|  male|   1.9|  80.0|         football|           0|
|            Colombia|       4.528075|       13326.0|  48175048|               8.3|  male|  1.81|  81.0|         football|           0|
|            Colombia|       4.528075|       13326.0|  48175048|               8.3|  male|  1.75|  68.0|         football|           0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|  male|  1.74|  80.0|         football|           0|
|                Fiji|      0.2987445|       11940.0|    872406|              10.8|  male|  1.75|  67.0|         football|           0|
|            Honduras|       16.11051|        4796.0|   9270794|               6.5|  male|  1.82|  81.0|         football|           0|
|            Colombia|       4.528075|       13326.0|  48175048|               8.3|  male|  1.76|  67.0|         football|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.71|  69.0|         handball|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|   1.8|  88.0|         handball|           0|
|              Angola|       42.16528|        8453.0|  28842482|               5.1|female|  1.92| 105.0|         handball|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.77|  68.0|         handball|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.75|  62.0|         handball|           0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|   1.8|  73.0|         handball|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.72|  67.0|         handball|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.73|  66.0|         handball|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|female|  1.72|  70.0|         handball|           0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|   1.8|  84.0|         handball|           0|
|              Angola|       42.16528|        8453.0|  28842482|               5.1|female|   1.8|  69.0|         handball|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.82|  73.0|         handball|           0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|female|  1.69|  60.0|         handball|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|female|  1.84|  83.0|         handball|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.72|  72.0|         handball|           0|
|              Angola|       42.16528|        8453.0|  28842482|               5.1|female|  1.72|  68.0|         handball|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.78|  75.0|         handball|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.74|  70.0|         handball|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.78|  70.0|         handball|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|   1.8|  73.0|         handball|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.86|  84.0|         handball|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.92|  81.0|         handball|           0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.75|  68.0|         handball|           0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.75|  65.0|         handball|           0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.73|  65.0|         handball|           0|
|         South Korea|      0.2266651|       36103.0|  50983446|              12.1|female|   1.8|  76.0|         handball|           0|
|         South Korea|      0.2266651|       36103.0|  50983446|              12.1|female|  1.63|  58.0|         handball|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.83|  71.0|         handball|           0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.76|  68.0|         handball|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|female|  1.83|  80.0|         handball|           0|
|             Moldova|        0.16489|        6068.0|   4066013|              11.6|  male|  1.83|  80.0|        taekwondo|           0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.85|  80.0|        taekwondo|           0|
|               Gabon|       3.595783|       18413.0|   2007882|               8.2|  male|   1.9|  97.0|        taekwondo|           0|
|             Belarus|            0.0|       17628.0|   9445638|              12.3|  male|  2.03| 105.0|        taekwondo|           0|
|             Senegal|       32.47264|        2403.0|  14993514|               2.9|  male|  1.88|  68.0|        taekwondo|           0|
|              Mexico|       2.158935|       16133.0| 123333379|               8.6|  male|  1.77|  58.0|        taekwondo|           0|
|Central African R...|        73.4232|         589.0|   4537683|               4.3|  male|  1.87|  68.0|        taekwondo|           0|
|          Uzbekistan|       13.62555|       10381.0|  31441753|              11.4|  male|  1.93|  97.0|        taekwondo|           0|
|           Venezuela|           82.0|       15219.0|  29851249|              12.8|  male|  1.78|  67.0|        taekwondo|           0|
|                Iran|      0.3843361|       16783.0|  79563991|               9.8|  male|  1.85|  58.0|        taekwondo|           0|
|             Croatia|      0.6206112|       20376.0|   4208611|              11.3|  male|  1.73|  70.0|        taekwondo|           0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|  male|  1.92|  68.0|        taekwondo|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|  male|  1.84|  80.0|        taekwondo|           0|
|               Chile|      0.2875647|       21696.0|  18209072|              10.3|  male|  1.79|  62.0|        taekwondo|           0|
|                Mali|       46.32163|        1594.0|  17965448|               2.3|  male|  1.91|  78.0|        taekwondo|           0|
|          Kazakhstan|     0.01151561|       23842.0|  17830902|              11.7|female|  1.64|  49.0|        taekwondo|           0|
|             Croatia|      0.6206112|       20376.0|   4208611|              11.3|female|  1.72|  55.0|        taekwondo|           0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|female|  1.73|  67.0|        taekwondo|           0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.61|  48.0|        taekwondo|           0|
|               Haiti|       21.55501|        1728.0|  10839976|               5.2|female|  1.73|  67.0|        taekwondo|           0|
|          Kazakhstan|     0.01151561|       23842.0|  17830902|              11.7|female|  1.75|  67.0|        taekwondo|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.72|  67.0|        taekwondo|           0|
|              Panama|        2.19565|       21449.0|   4037073|              10.0|female|  1.68|  57.0|        taekwondo|           0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.68|  56.0|        taekwondo|           0|
|              Taiwan|            0.0|       42165.0|  23618201|              12.0|female|  1.79|  65.0|        taekwondo|           0|
|         Puerto Rico|           25.8|       35082.0|   3283121|              11.9|female|  1.78|  73.0|        taekwondo|           0|
|            Colombia|       4.528075|       13326.0|  48175048|               8.3|female|  1.65|  56.0|        taekwondo|           0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|female|  1.76|  67.0|        taekwondo|           0|
|          Azerbaijan|            0.0|       16645.0|   9736041|              10.7|female|  1.73|  67.0|        taekwondo|           0|
